Stmts_Or_Newlines Stmt_Or_Newline Stmts_Or_Newlines ::: 7995883
Stmt_Or_Newline Small_Stmts Newline ::: 7018148
Many_Trailers Trailer Many_Trailers ::: 4503662
Trailer Dot Simple_Name ::: 4137168
Arglist.Close_Paren Arglist Close_Paren ::: 4023206
Many_Trailers Open_Paren Arglist.Close_Paren ::: 3829824
Small_Stmts Testlist_Star_Expr Yield_Testlist_Star_Assign_Exprs ::: 3179274
Yield_Testlist_Star_Assign_Exprs Assign_Op Testlist_Star_Expr ::: 3178544
Suite Newline Indent.Stmts_Or_Newlines.Dedent ::: 2733390
Stmts_Or_Newlines.Dedent Stmts_Or_Newlines Dedent ::: 2733390
Indent.Stmts_Or_Newlines.Dedent Indent Stmts_Or_Newlines.Dedent ::: 2733390
Colon.Suite Colon Suite ::: 2517024
Comma.Arguments Comma Arguments ::: 2407128
Testlist_Star_Expr Atom Many_Trailers ::: 2292792
Stmts_Or_Newlines Small_Stmts Newline ::: 2143266
Many_Trailers Dot Simple_Name ::: 1872262
Small_Stmts Atom Many_Trailers ::: 1635102
Small_Stmts Import_From_Froms Import_From_Imports ::: 1632016
Import_From_Froms From_Keyword Start_Dotted_Name ::: 1591618
Dot.Dotted_Name Dot Dotted_Name ::: 1587296
Import_From_Imports Import_Keyword Import_As_Names_Endcomma ::: 1528652
Arglist Argument Comma.Arguments ::: 1500520
Parameters.Colon.Suite Parameters Colon.Suite ::: 1308686
Simple_Name.Parameters.Colon.Suite Simple_Name Parameters.Colon.Suite ::: 1308686
Assign_Op.Test Assign_Op Test ::: 1249574
Parameters Open_Paren Typedargslist.Close_Paren ::: 1195982
Typedargslist.Close_Paren Typedargslist Close_Paren ::: 1195982
Stmt_Or_Newline Def_Keyword Simple_Name.Parameters.Colon.Suite ::: 1121140
Small_Stmts Import_Keyword Dotted_As_Names ::: 1065392
Comma.Test_Or_Star_Exprs Comma Test_Or_Star_Exprs ::: 969934
START Stmt_Or_Newline Stmts_Or_Newlines ::: 950293
Comma.Many_Tfpdef Comma Many_Tfpdef ::: 933920
Arguments Argument Comma.Arguments ::: 906608
Many_Trailers Open_Paren Close_Paren ::: 891856
Start_Dotted_Name Simple_Name Dot.Dotted_Name ::: 883366
Small_Stmts Return_Keyword Testlist_Endcomma ::: 719188
Subscriptlist.Close_Sq_Bracket Subscriptlist Close_Sq_Bracket ::: 660688
Arglist Atom Many_Trailers ::: 639740
Dotted_Name Simple_Name Dot.Dotted_Name ::: 633228
Many_Trailers Open_Sq_Bracket Subscriptlist.Close_Sq_Bracket ::: 561712
Comma.Import_As_Names_Endcomma Comma Import_As_Names_Endcomma ::: 543118
Import_As_Names_Endcomma Import_As_Name Comma.Import_As_Names_Endcomma ::: 543118
Typedargslist Tfpdef_Default Comma.Many_Tfpdef ::: 539692
Test_Or_Star_Exprs Test_Or_Star_Expr Comma.Test_Or_Star_Exprs ::: 517022
Argument Test Assign_Op.Test ::: 510954
Test Atom Many_Trailers ::: 483946
Comp_Op.Expr Comp_Op Expr ::: 464128
Testlist_Endcomma Atom Many_Trailers ::: 434960
Colon.Test Colon Test ::: 418892
Test.Colon.Suite Test Colon.Suite ::: 418856
Arguments Test Assign_Op.Test ::: 406696
Argument Atom Many_Trailers ::: 399724
Testlist_Comp.Close_Sq_Bracket Testlist_Comp Close_Sq_Bracket ::: 395254
Many_Tfpdef Tfpdef_Default Comma.Many_Tfpdef ::: 394228
Testlist_Comp.Close_Paren Testlist_Comp Close_Paren ::: 387138
Testlist_Comp Test_Or_Star_Expr Comma.Test_Or_Star_Exprs ::: 383188
Arith_Op.Term Arith_Op Term ::: 348568
Test Comparison Comp_Op.Expr ::: 322158
MulDiv_Op.Factor MulDiv_Op Factor ::: 284482
Close_Paren.Colon.Suite Close_Paren Colon.Suite ::: 255408
Arglist.Close_Paren.Colon.Suite Arglist Close_Paren.Colon.Suite ::: 250862
Open_Paren.Arglist.Close_Paren.Colon.Suite Open_Paren Arglist.Close_Paren.Colon.Suite ::: 250862
