Stmt_Or_Newline Small_Stmts Newline* NEWLINE ε ::: 20965142
Stmts_Or_Newlines Stmt_Or_Newline* Stmts_Or_Newlines Small_Stmts Newline ::: 20004296
Stmts_Or_Newlines Stmt_Or_Newline Stmts_Or_Newlines* Stmt_Or_Newline Stmts_Or_Newlines ::: 15401482
Trailer Dot* Simple_Name . ε ::: 12341980
Many_Trailers Trailer* Many_Trailers Dot Simple_Name ::: 12341980
Trailer Dot Simple_Name* NAME ε ::: 12341980
Arglist.Close_Paren Arglist Close_Paren* ) ε ::: 12002864
Many_Trailers Open_Paren Arglist.Close_Paren* Arglist Close_Paren ::: 11426124
Many_Trailers Open_Paren* Arglist.Close_Paren ( ε ::: 11426124
Yield_Testlist_Star_Assign_Exprs Assign_Op* Testlist_Star_Expr = ε ::: 9481846
Small_Stmts Testlist_Star_Expr Yield_Testlist_Star_Assign_Exprs* Assign_Op Testlist_Star_Expr ::: 9467414
Indent.Stmts_Or_Newlines.Dedent Indent Stmts_Or_Newlines.Dedent* Stmts_Or_Newlines Dedent ::: 8146486
Suite Newline Indent.Stmts_Or_Newlines.Dedent* Indent Stmts_Or_Newlines.Dedent ::: 8146486
Stmts_Or_Newlines.Dedent Stmts_Or_Newlines Dedent* DEDENT ε ::: 8146486
Indent.Stmts_Or_Newlines.Dedent Indent* Stmts_Or_Newlines.Dedent INDENT ε ::: 8146486
Suite Newline* Indent.Stmts_Or_Newlines.Dedent NEWLINE ε ::: 8146486
Stmt_Or_Newline Small_Stmts* Newline Testlist_Star_Expr Yield_Testlist_Star_Assign_Exprs ::: 8081368
Colon.Suite Colon* Suite : ε ::: 7501580
Colon.Suite Colon Suite* Newline Indent.Stmts_Or_Newlines.Dedent ::: 7445762
Small_Stmts Testlist_Star_Expr* Yield_Testlist_Star_Assign_Exprs NAME ε ::: 7315044
Comma.Arguments Comma* Arguments , ε ::: 7192128
Many_Trailers Trailer Many_Trailers* Open_Paren Arglist.Close_Paren ::: 6772422
Testlist_Star_Expr Atom* Many_Trailers NAME ε ::: 6769592
