dim, correlation
3,-0.0705462195899502
759,-0.056235552104727644
216,-0.04512670594394073
4,-0.03827107268386929
690,-0.03170302826144289
303,-0.028086184930071954
306,-0.02702061811302898
698,-0.026516958273167305
638,-0.02399450595705796
543,-0.021237119174300313
728,-0.017756906729582023
697,-0.017100610849671585
691,-0.016637217983405
7,-0.015820978242995904
24,-0.01274022054876406
487,-0.01105526350095998
602,-0.008467009191494412
544,-2.898886824779925E-4
296,1.5674591428618194E-4
80,0.0011530382774297596
468,0.0015288300425983425
272,0.0019791456774157345
316,0.005577111016379125
304,0.0067317060572192255
90,0.007020955002979819
542,0.009114008094858211
311,0.00946487909930517
675,0.009628679552644674
68,0.009666311072892115
133,0.009680247375556422
459,0.010266793252070803
605,0.0147976032757276
603,0.015794036634276063
572,0.015812291514487715
440,0.016009194081302212
648,0.017364687663327532
571,0.01745487075410364
604,0.018128120601259044
305,0.01933354315861568
527,0.020106912240659042
199,0.020226400764629816
639,0.020722160216066196
127,0.02291843790884527
401,0.023327371972310607
596,0.025100621513105926
526,0.025764965199852777
645,0.02628818583397342
356,0.028963368628552363
335,0.032221716330324224
670,0.033196440925456434
414,0.03433885267239428
227,0.03441060287016962
563,0.03679351280843697
249,0.03698609814996475
541,0.03712835997445463
56,0.037234804259466514
332,0.0378742529554652
510,0.03789741461638831
549,0.03828943101149468
516,0.03885226129717528
413,0.03905100511584646
435,0.039467085517048216
660,0.039577946087132776
52,0.03978765884141429
503,0.04011003284949512
215,0.04021961345467588
255,0.04059046118591065
469,0.04146100079204607
295,0.04170824114791931
434,0.042609500443906975
564,0.04418657093892273
722,0.04537678931226388
245,0.04568977169284633
307,0.04657455201786633
242,0.04965810455394819
736,0.050683799410137904
128,0.05228184745456107
217,0.05265346838739507
317,0.056416026731133044
352,0.056704261926124065
138,0.057136843896488244
464,0.05806983886373514
687,0.05932575889139609
611,0.05955885779978399
412,0.06070230514495269
491,0.06137797994207132
279,0.0627717976663345
95,0.0632684146520628
220,0.06358818631139475
107,0.06379186559273073
69,0.06449493769711091
39,0.06458184548549589
244,0.06477342485576808
58,0.06492327188189302
646,0.06504756827432978
208,0.06514462962906994
525,0.06601862031617137
504,0.06628305315172643
310,0.06657002310106212
79,0.06765775193271047
647,0.06775525661386356
707,0.068114544485556
522,0.06874170958091
134,0.06941021198062809
34,0.06990330671962558
451,0.07089176403189534
566,0.07147043709921218
433,0.07147468250410732
492,0.07211260329407224
33,0.07318154983622333
622,0.07341528920386743
109,0.0737018381576698
57,0.07401827600716063
113,0.07516039916676555
336,0.07533519643657832
219,0.07596983109987505
671,0.07608948088268988
186,0.07716736659738625
439,0.07717880426481974
669,0.07766478334693933
137,0.07781091175797969
505,0.07821435189942551
124,0.07832985744345775
548,0.07906047074459549
486,0.07939059104496626
126,0.07947632501999116
212,0.08055039867668456
672,0.08074352422098553
177,0.08146796542647487
243,0.08152663509337012
2,0.0822572119266867
297,0.08250229364301527
18,0.08253964918969635
409,0.08321193508850089
117,0.08321476990179655
48,0.08415285935026581
333,0.08445088250793541
576,0.08472836580259525
737,0.08582122235310911
676,0.08595058746155917
595,0.08605270886043326
25,0.08764855664452438
94,0.08863150868544521
585,0.08971375080107713
588,0.09007223076223195
663,0.09179754513597459
285,0.09205517475269459
246,0.09214365236574125
276,0.09229947510997552
55,0.09234055104169805
114,0.09278192644527242
463,0.09413447614299365
704,0.09434162948871243
404,0.09524115716557585
536,0.09608468296369606
517,0.09677378600037136
584,0.09716836569690347
331,0.09744003533917886
163,0.0975733368224479
394,0.09778681677917962
612,0.09781821138480322
424,0.09836108978398322
51,0.09842111535854627
755,0.09916873202363295
587,0.0996915803259459
733,0.10020571914838046
395,0.10097435724397885
299,0.10130528674869738
515,0.10163157414110523
436,0.10250736282616033
144,0.10351132540704049
471,0.10384689712717876
642,0.10401461380697571
228,0.10423693751431479
465,0.10505720244444197
298,0.10510273182191356
586,0.10522547925464842
281,0.10633659617803397
75,0.10649555870289545
363,0.10735017959352347
664,0.10742235797581581
508,0.10754214230324419
202,0.10796558928082717
53,0.10833958987348202
65,0.10895681248926951
729,0.10923642377068173
528,0.10950499984226657
621,0.1095856677154168
458,0.11038686359518952
589,0.11061102675288086
10,0.11070766193671766
478,0.11081607914022597
260,0.1109383380452348
754,0.11145923341226113
684,0.1114687651746751
136,0.1134813931089116
83,0.11356525632257691
415,0.11371304859677588
710,0.11387577573782329
162,0.11389445235622579
479,0.11528075257743949
294,0.11576329803063955
123,0.1159495879072013
271,0.11710354403064291
751,0.11721772521099513
49,0.11754225235423832
738,0.11767637877656004
19,0.11775725567673447
719,0.11794190469116682
425,0.11811561797495439
637,0.11822284351286806
156,0.11902286346654206
351,0.12004353245263334
565,0.12020008364200616
502,0.1202961234916758
696,0.12059919640403785
17,0.12066200490211629
185,0.12102429492733525
318,0.12173302288991615
248,0.1218693865273541
545,0.12258786861580659
374,0.12262966040011447
470,0.12317318159359328
466,0.12333378381203569
452,0.12352576226749755
334,0.1238500439998818
426,0.12386807347354811
567,0.12473316640796955
30,0.12492350631760281
200,0.1259627139565314
6,0.12729558834313362
360,0.12736683057245005
348,0.12758885249632088
86,0.12777742691324162
554,0.12795178553452047
43,0.12816066713531524
112,0.1282228743183836
703,0.1286735427249716
211,0.12919245789286807
40,0.1298384588923671
581,0.13004867003571602
438,0.13051152026185897
263,0.1306979352987793
657,0.13089108891381823
623,0.13187171303452908
54,0.13190168141131062
537,0.133017825225233
280,0.1331697079344849
590,0.13335402252124787
275,0.13345244184788194
718,0.13399378601672304
273,0.13409110104743155
558,0.13438496668613453
146,0.13489987828897368
490,0.13496270361486745
201,0.13542317430651396
449,0.13731835464560913
405,0.137640148939435
734,0.13778625212494008
741,0.13802743047552077
665,0.1381158816444926
606,0.13860063090098185
341,0.13861447262459506
756,0.1386145138751278
392,0.13897114746967676
250,0.13900176360923333
329,0.13910530567109916
441,0.13912107785059846
330,0.13926880429484012
203,0.13930358880506885
44,0.1393144701979397
732,0.13947704799839028
261,0.13985414208264035
384,0.14000126571636476
192,0.14088073068407425
509,0.14103224233969516
472,0.1419237970530568
535,0.14231555313775548
168,0.1425695624670073
265,0.14414007368956158
477,0.14609919193761886
132,0.14612295583278664
450,0.14637687200599056
122,0.14641538744046068
239,0.14678136693549335
135,0.14694725066762077
577,0.14735514877972555
205,0.14758227375107483
230,0.1477620662007593
125,0.1480851723970931
695,0.14867040833977574
652,0.14870790059272584
20,0.14872959292443866
143,0.1488578055483696
11,0.14891748200222543
553,0.15016471897529707
87,0.150779234767208
408,0.1513585206786312
437,0.15334882054512308
406,0.15336228909255875
480,0.153371770089328
365,0.15379804026641683
293,0.15388272698492558
62,0.15390122170019838
711,0.1539024537196076
302,0.1542261979054329
636,0.15452211842643632
158,0.15484645369264835
165,0.15710374943149044
171,0.15719305158777183
89,0.15806809854747086
378,0.15822421647524548
481,0.15824633003615574
427,0.15839003643423719
204,0.15841986335743727
70,0.15909510084201392
229,0.15939867846347708
28,0.15949537351247936
264,0.15979873774081893
182,0.15987979061606933
694,0.15992821208939373
391,0.16000666600231
353,0.1603543920993249
151,0.16065480071572394
118,0.16129826223672725
357,0.1624378479927438
223,0.16266992835373192
196,0.16294904614996716
174,0.16315746052449964
610,0.16336044494505592
235,0.1640776266249402
108,0.16431660288386143
758,0.1649103745901224
247,0.16517394270303018
580,0.16554225466648492
418,0.1659861946544614
29,0.16648546135709105
422,0.16671606929537391
319,0.1669853269031323
666,0.16703691735040227
519,0.16734551921340518
644,0.16750981086114694
640,0.16762595510064157
176,0.16843365949807076
173,0.16859332536751065
555,0.16864449675576795
358,0.16883576374728682
742,0.16884658545198195
385,0.1691986057600042
262,0.1693624239860894
71,0.16937109150985008
678,0.17075151232881405
681,0.17107945080431258
377,0.1711000616110396
762,0.1713516011406412
597,0.17143652525713707
552,0.1717220400691731
23,0.17182117464583047
557,0.1718821955362325
763,0.1725108910405881
236,0.17256017325332423
256,0.1725881070166314
476,0.17364154770105888
683,0.17377346704309482
607,0.17430436355095627
366,0.17433091919232163
383,0.17439371155545152
189,0.17445612762068158
12,0.1745681394985022
575,0.1748678913844047
